angle_fingers_lr:discrete,dist_fingers_lr:discrete,fingers:discrete,lm_fing_tip_rel_pos_x:discrete,lm_fing_tip_rel_pos_y:discrete,lm_fing_tip_rel_pos_z:discrete,rm_fing_tip_rel_pos_x:discrete,rm_fing_tip_rel_pos_y:discrete,rm_fing_tip_rel_pos_z:discrete,cls:nominal:class
34,5215,200,4822,3986,7111,4822,3986,7111,none
34,5397,200,4796,4070,7018,4796,4070,7018,none
37,5642,200,4821,4049,6969,4821,4049,6969,none
39,5876,200,4965,3937,6990,4965,3937,6990,none
42,6168,200,5064,3793,6844,5064,3793,6844,none
44,6456,200,5191,3611,6701,5191,3611,6701,none
107,13022,300,5290,3402,6544,5290,3402,6544,none
108,13194,300,5417,3192,6435,5417,3192,6435,none
109,13322,300,5550,2942,6382,5550,2942,6382,none
109,13402,300,5651,2726,6319,5651,2726,6319,none
109,13412,300,5745,2534,6277,5745,2534,6277,none
110,13354,300,5807,2345,6176,5807,2345,6176,none
110,13281,300,5873,2175,6105,5873,2175,6105,none
109,13152,300,5924,1969,6029,5924,1969,6029,none
109,12968,300,5975,1741,5972,5975,1741,5972,none
107,12763,300,6025,1450,5976,6025,1450,5976,none
105,12503,300,6062,1115,6027,6062,1115,6027,none
103,12267,300,6089,737,6147,6089,737,6147,none
100,12040,300,6104,353,6275,6104,353,6275,none
97,11844,300,6099,-35,6401,6099,-35,6401,none
95,11672,300,6081,-421,6526,6081,-421,6526,none
92,11525,300,6042,-821,6668,6042,-821,6668,none
88,11382,300,5961,-1284,6858,5961,-1284,6858,none
85,11249,300,5836,-1762,7066,5836,-1762,7066,none
82,11143,300,5692,-2144,7249,5692,-2144,7249,none
80,11061,300,5537,-2518,7395,5537,-2518,7395,none
78,11004,300,5376,-2871,7532,5376,-2871,7532,none
75,10980,300,5194,-3169,7685,5194,-3169,7685,none
71,10972,300,4984,-3469,7881,4984,-3469,7881,none
68,10977,300,4739,-3693,8046,4739,-3693,8046,none
65,11011,300,4533,-3881,8287,4533,-3881,8287,none
62,11044,300,4315,-3914,8443,4315,-3914,8443,none
60,11089,300,4111,-3909,8572,4111,-3909,8572,none
61,11160,300,3920,-3868,8710,3920,-3868,8710,none
59,11433,300,3774,-3840,8864,3774,-3840,8864,none
58,11660,300,3662,-3836,9056,3662,-3836,9056,none
86,12850,400,5701,-1637,3451,5701,-1637,3451,none
89,13382,400,6211,-1566,3188,6211,-1566,3188,none
92,13963,400,6654,-1458,2894,6654,-1458,2894,none
97,14576,400,7157,-1323,2610,7157,-1323,2610,none
101,15155,400,7597,-1074,2340,7597,-1074,2340,none
105,15641,400,7932,-744,2056,7932,-744,2056,none
108,16058,400,8195,-452,1836,8195,-452,1836,none
111,16420,400,8432,-186,1651,8432,-186,1651,none
113,16699,400,8574,58,1455,8574,58,1455,none
114,16911,400,8684,275,1298,8684,275,1298,none
115,17095,400,8767,472,1147,8767,472,1147,none
116,17226,400,8825,659,1007,8825,659,1007,none
117,17340,400,8870,827,899,8870,827,899,none
117,17443,400,8876,1007,799,8876,1007,799,none
117,17499,400,8881,1158,724,8881,1158,724,none
117,17517,400,8851,1337,635,8851,1337,635,none
117,17496,400,8814,1505,567,8814,1505,567,none
116,17439,400,8744,1658,535,8744,1658,535,none
116,17374,400,8707,1828,497,8707,1828,497,none
115,17340,400,8655,1965,463,8655,1965,463,none
114,17322,400,8604,2082,418,8604,2082,418,none
114,17324,400,8556,2222,375,8556,2222,375,none
113,17326,400,8510,2362,340,8510,2362,340,none
113,17330,400,8484,2475,292,8484,2475,292,none
112,17318,400,8436,2588,246,8436,2588,246,none
112,17314,400,8402,2700,198,8402,2700,198,none
111,17309,400,8328,2846,137,8328,2846,137,none
111,17309,400,8296,3011,62,8296,3011,62,none
110,17311,400,8271,3151,-18,8271,3151,-18,none
110,17313,400,8247,3299,-110,8247,3299,-110,none
109,17313,400,8221,3424,-201,8221,3424,-201,none
108,17313,400,8175,3576,-313,8175,3576,-313,none
91,14668,300,8117,3731,-425,8117,3731,-425,none
91,14677,300,8049,3902,-504,8049,3902,-504,none
91,14687,300,7966,4070,-583,7966,4070,-583,none
91,14693,300,7872,4239,-669,7872,4239,-669,none
92,14697,300,7792,4377,-742,7792,4377,-742,none
92,14700,300,7702,4517,-805,7702,4517,-805,none
92,14700,300,7611,4659,-845,7611,4659,-845,none
91,14700,300,7516,4796,-862,7516,4796,-862,none
91,14704,300,7382,4953,-870,7382,4953,-870,none
91,14718,300,7254,5115,-870,7254,5115,-870,none
90,14748,300,7138,5263,-875,7138,5263,-875,none
90,14804,300,7030,5416,-854,7030,5416,-854,none
90,14900,300,6894,5591,-834,6894,5591,-834,none
90,15039,300,6751,5763,-828,6751,5763,-828,none
90,15244,300,6656,5928,-859,6656,5928,-859,none
91,15511,300,6651,6051,-889,6651,6051,-889,none
92,15867,300,6698,6152,-915,6698,6152,-915,none
93,16355,300,6788,6270,-941,6788,6270,-941,none
94,16918,300,6866,6399,-974,6866,6399,-974,none
95,17442,300,6925,6470,-964,6925,6470,-964,none
96,17862,300,6958,6499,-933,6958,6499,-933,none
96,18139,300,6967,6508,-882,6967,6508,-882,none
96,18290,300,6946,6502,-819,6946,6502,-819,none
55,10584,200,6986,6503,-797,6986,6503,-797,none
100,17490,300,7016,6504,-790,7016,6504,-790,none
57,10954,200,7030,6488,-757,7030,6488,-757,none
101,16672,300,7008,6452,-692,7008,6452,-692,none
103,16239,300,6926,6393,-584,6926,6393,-584,none
104,15933,300,6904,6378,-498,6904,6378,-498,none
105,15706,300,6918,6415,-385,6918,6415,-385,none
104,15570,300,6906,6453,-246,6906,6453,-246,none
103,15497,300,6867,6456,-93,6867,6456,-93,none
110,18381,400,6827,6463,31,6827,6463,31,none
110,18242,400,6767,6452,140,6767,6452,140,none
127,19684,500,6710,6433,219,6710,6433,219,none
127,19557,500,6610,6414,276,6610,6414,276,none
128,19432,500,6498,6400,312,6498,6400,312,none
127,19259,500,6362,6398,318,6362,6398,318,none
127,19099,500,6261,6411,312,6261,6411,312,none
127,18936,500,6090,6419,296,6090,6419,296,none
127,18782,500,5936,6491,254,5936,6491,254,none
126,18649,500,5802,6591,208,5802,6591,208,none
126,18546,500,5682,6715,153,5682,6715,153,none
126,18493,500,5570,6843,86,5570,6843,86,none
126,18458,500,5493,6944,25,5493,6944,25,none
126,18445,500,5417,7057,-50,5417,7057,-50,none
126,18472,500,5352,7181,-130,5352,7181,-130,none
126,18537,500,5289,7300,-200,5289,7300,-200,none
126,18615,500,5235,7403,-220,5235,7403,-220,none
126,18690,500,5198,7465,-225,5198,7465,-225,none
126,18765,500,5234,7505,-223,5234,7505,-223,none
126,18822,500,5405,7446,-192,5405,7446,-192,none
127,18819,500,5613,7312,-178,5613,7312,-178,none
127,18864,500,5831,7114,-172,5831,7114,-172,none
127,18922,500,6075,6920,-176,6075,6920,-176,none
128,18968,500,6346,6688,-170,6346,6688,-170,none
127,18980,500,6680,6439,-208,6680,6439,-208,none
127,18944,500,7045,6062,-236,7045,6062,-236,none
127,18800,500,7400,5609,-272,7400,5609,-272,none
127,18615,500,7727,5133,-249,7727,5133,-249,none
126,18403,500,8001,4603,-240,8001,4603,-240,none
125,18136,500,8235,3983,-198,8235,3983,-198,none
123,17775,500,8390,3317,-223,8390,3317,-223,none
120,17216,500,8436,2535,-144,8436,2535,-144,none
115,16465,500,8353,1622,-65,8353,1622,-65,none
112,15721,300,8150,641,30,8150,641,30,none
105,15095,300,7823,-450,166,7823,-450,166,none
97,14556,300,7363,-1705,680,7363,-1705,680,none
92,13999,200,6796,-2719,1015,6796,-2719,1015,none
0,0,100,-895,4312,9845,-895,4312,9845,none
21,1894,300,434,1928,9391,434,1928,9391,none
5,6748,300,2089,2881,8182,2089,2881,8182,none
10,7956,300,3266,3089,7256,3266,3089,7256,none
15,8737,300,4018,2877,6670,4018,2877,6670,none
20,9155,300,4491,2554,6334,4491,2554,6334,none
25,9407,300,4832,2178,6144,4832,2178,6144,none
29,9541,300,5097,1826,5948,5097,1826,5948,none
33,9594,300,5337,1394,5708,5337,1394,5708,none
37,9643,300,5559,1077,5437,5559,1077,5437,none
40,9710,300,5758,831,5159,5758,831,5159,none
44,9767,300,5957,626,4871,5957,626,4871,none
63,12649,400,6175,397,4669,6175,397,4669,none
66,12720,400,6352,99,4493,6352,99,4493,none
70,12771,400,6505,-198,4253,6505,-198,4253,none
74,12840,400,6544,-394,3896,6544,-394,3896,none
78,12906,400,6660,-531,3552,6660,-531,3552,none
47,8890,300,4106,149,8468,4106,149,8468,none
50,8974,300,4448,-135,8029,4448,-135,8029,none
51,8896,300,4653,-377,7558,4653,-377,7558,none
50,8663,300,4793,-439,7156,4793,-439,7156,none
75,11301,400,6394,-1710,2143,6394,-1710,2143,none
44,7481,300,6255,-1874,2133,6255,-1874,2133,none
47,6962,300,6085,-2004,2120,6085,-2004,2120,none
0,0,100,5908,-1927,2163,5908,-1927,2163,none
0,0,0,-624,16230,-4066,-624,16230,-4066,none
0,0,0,-674,16101,-3513,-674,16101,-3513,none
0,0,0,-686,16000,-2690,-686,16000,-2690,none
0,0,0,-693,15939,-2054,-693,15939,-2054,none
0,0,100,4697,-1821,8878,4697,-1821,8878,none
0,0,100,4599,-2003,9405,4599,-2003,9405,none
0,0,100,4521,-2133,9665,4521,-2133,9665,none
0,0,100,4435,-2151,9588,4435,-2151,9588,none
0,0,100,4335,-1963,9315,4335,-1963,9315,none
0,0,100,4218,-1587,8798,4218,-1587,8798,none
0,0,100,4081,-1147,8330,4081,-1147,8330,none
0,0,100,3917,-750,8048,3917,-750,8048,none
0,0,100,3705,-450,7935,3705,-450,7935,none
0,0,100,3533,-212,7915,3533,-212,7915,none
0,0,0,-809,17788,-1221,-809,17788,-1221,none
0,0,0,-810,17986,-1124,-810,17986,-1124,none
0,0,0,-815,18171,-1062,-815,18171,-1062,none
0,0,0,-827,18352,-1002,-827,18352,-1002,none
0,0,0,-848,18513,-982,-848,18513,-982,none
0,0,0,-877,18644,-967,-877,18644,-967,none
0,0,0,-912,18748,-961,-912,18748,-961,none
0,0,0,-953,18827,-965,-953,18827,-965,none
0,0,0,-1063,18952,-1257,-1063,18952,-1257,none
0,0,0,-1169,19069,-1539,-1169,19069,-1539,none
0,0,0,-1270,19163,-1750,-1270,19163,-1750,none
0,0,0,-1384,19231,-1903,-1384,19231,-1903,none
0,0,0,-1504,19282,-2033,-1504,19282,-2033,none
0,0,0,-1644,19334,-2200,-1644,19334,-2200,none
0,0,0,-1778,19375,-2343,-1778,19375,-2343,none
0,0,0,-1939,19423,-2487,-1939,19423,-2487,none
0,0,0,-2089,19505,-2510,-2089,19505,-2510,none
0,0,0,-2238,19605,-2588,-2238,19605,-2588,none
0,0,0,-2323,19690,-2452,-2323,19690,-2452,none
0,0,0,-2396,19768,-2356,-2396,19768,-2356,none
0,0,0,-2460,19860,-2308,-2460,19860,-2308,none
0,0,0,-2506,19941,-2277,-2506,19941,-2277,none
0,0,0,-2531,20004,-2240,-2531,20004,-2240,none
0,0,0,-2544,20060,-2212,-2544,20060,-2212,none
0,0,0,-2543,20092,-2163,-2543,20092,-2163,none
0,0,0,-2534,20108,-2095,-2534,20108,-2095,none
0,0,0,-2517,20115,-2006,-2517,20115,-2006,none
0,0,0,-2494,20116,-1908,-2494,20116,-1908,none
0,0,0,-2459,20114,-1797,-2459,20114,-1797,none
0,0,0,-2426,20112,-1699,-2426,20112,-1699,none
0,0,0,-2374,20113,-1586,-2374,20113,-1586,none
0,0,0,-2320,20121,-1486,-2320,20121,-1486,none
0,0,0,-2307,20164,-1598,-2307,20164,-1598,none
0,0,0,-2239,20232,-1602,-2239,20232,-1602,none
0,0,0,-2145,20326,-1616,-2145,20326,-1616,none
0,0,0,-2038,20426,-1617,-2038,20426,-1617,none
0,0,0,-1942,20513,-1608,-1942,20513,-1608,none
0,0,0,-1811,20644,-1628,-1811,20644,-1628,none
0,0,0,-1674,20763,-1626,-1674,20763,-1626,none
0,0,0,-1540,20874,-1637,-1540,20874,-1637,none
0,0,0,-1410,20962,-1635,-1410,20962,-1635,none
0,0,100,-879,-131,7530,-879,-131,7530,none
0,0,0,-1156,21110,-1655,-1156,21110,-1655,none
0,0,100,-683,137,7561,-683,137,7561,none
0,0,0,-929,21180,-1597,-929,21180,-1597,none
0,0,0,-776,21178,-1508,-776,21178,-1508,none
0,0,0,-644,21174,-1434,-644,21174,-1434,none
0,0,0,-529,21160,-1397,-529,21160,-1397,none
0,0,0,-403,21121,-1316,-403,21121,-1316,none
0,0,0,-310,21088,-1292,-310,21088,-1292,none
0,0,0,-236,21054,-1287,-236,21054,-1287,none
0,0,0,-166,21019,-1281,-166,21019,-1281,none
0,0,100,4655,100,7680,4655,100,7680,none
0,0,100,4486,221,7572,4486,221,7572,none
0,0,100,4285,194,7507,4285,194,7507,none
0,0,0,-205,20809,-2466,-205,20809,-2466,none
0,0,100,3935,-9,6836,3935,-9,6836,none
0,0,100,4048,-95,6554,4048,-95,6554,none
0,0,100,4049,-165,6390,4049,-165,6390,none
0,0,100,3902,-178,6502,3902,-178,6502,none
0,0,100,3484,-324,6294,3484,-324,6294,none
0,0,100,2982,-509,6476,2982,-509,6476,none
0,0,100,2322,-649,6989,2322,-649,6989,none
0,0,100,4237,2406,5810,4237,2406,5810,none
0,0,100,3704,2558,6318,3704,2558,6318,none
50,8685,200,5732,1278,-1660,5732,1278,-1660,none
47,9087,200,5827,1272,-1522,5827,1272,-1522,none
58,9506,200,5903,1288,-1371,5903,1288,-1371,none
67,9905,200,5924,1338,-1196,5924,1338,-1196,none
72,10308,200,5938,1473,-1035,5938,1473,-1035,none
77,10701,200,5910,1730,-820,5910,1730,-820,none
83,11067,200,5835,2031,-578,5835,2031,-578,none
88,11372,200,5713,2411,-314,5713,2411,-314,none
93,11641,200,5456,3228,73,5456,3228,73,none
0,0,100,5026,4636,528,5026,4636,528,none
0,0,100,4327,5932,1055,4327,5932,1055,none
0,0,100,-2173,5966,9775,-2173,5966,9775,none
0,0,100,-2893,6323,9628,-2893,6323,9628,none
0,0,100,-3507,6162,9551,-3507,6162,9551,none
84,15731,200,6039,-5005,4127,6039,-5005,4127,none
94,12071,200,6231,-4825,4068,6231,-4825,4068,none
99,12266,200,6413,-4716,4021,6413,-4716,4021,none
73,15901,300,6603,-4623,3962,6603,-4623,3962,none
76,15347,400,6818,-4547,3929,6818,-4547,3929,none
77,15170,400,7049,-4373,3791,7049,-4373,3791,none
77,15286,300,7262,-4207,3657,7262,-4207,3657,none
77,15466,400,7483,-4109,3520,7483,-4109,3520,none
95,15801,400,7631,-3948,3370,7631,-3948,3370,none
95,16099,400,7742,-3764,3259,7742,-3764,3259,none
98,16331,500,7885,-3543,3134,7885,-3543,3134,none
101,16525,500,8008,-3292,3008,8008,-3292,3008,none
104,16687,500,8123,-3019,2863,8123,-3019,2863,none
107,16839,500,8259,-2767,2759,8259,-2767,2759,none
110,16963,500,8399,-2524,2685,8399,-2524,2685,none
111,17061,500,8480,-2171,2648,8480,-2171,2648,none
110,17147,500,8529,-1749,2635,8529,-1749,2635,none
110,17178,500,8547,-1224,2678,8547,-1224,2678,none
108,17204,500,8519,-664,2730,8519,-664,2730,none
106,17215,500,8478,-4,2858,8478,-4,2858,none
105,17238,500,8406,582,2958,8406,582,2958,none
103,17287,500,8318,1196,3118,8318,1196,3118,none
101,17310,500,8220,1746,3226,8220,1746,3226,none
99,17328,500,8057,2296,3369,8057,2296,3369,none
97,17348,500,7858,2797,3546,7858,2797,3546,none
95,17348,500,7630,3213,3642,7630,3213,3642,none
93,17336,500,7319,3579,3768,7319,3579,3768,none
91,17285,500,6945,3907,3838,6945,3907,3838,none
88,17155,500,6481,4192,3894,6481,4192,3894,none
86,16959,500,5956,4427,3935,5956,4427,3935,none
84,16699,500,5386,4626,3961,5386,4626,3961,none
53,12667,400,1172,-1209,10647,1172,-1209,10647,none
54,12711,400,1136,-1236,10530,1136,-1236,10530,none
55,12753,400,1130,-1194,10422,1130,-1194,10422,none
54,12771,300,1114,-1152,10386,1114,-1152,10386,none
50,12798,200,1073,-1099,10388,1073,-1099,10388,none
48,12813,200,1007,-985,10364,1007,-985,10364,none
0,0,100,910,-982,10528,910,-982,10528,none
20,5548,200,777,-976,10657,777,-976,10657,none
0,0,100,599,-877,10766,599,-877,10766,none
23,4936,200,322,-744,10921,322,-744,10921,none
0,0,100,-57,-458,10951,-57,-458,10951,none
0,0,100,-481,-111,10930,-481,-111,10930,none
0,0,100,-940,211,10881,-940,211,10881,none
0,0,100,-1424,437,10612,-1424,437,10612,none
20,3797,200,-1326,-356,10698,-1326,-356,10698,none
19,3664,200,-1255,-954,10734,-1255,-954,10734,none
20,4351,200,-1208,-1345,10761,-1208,-1345,10761,none
21,4728,200,-1189,-1641,10800,-1189,-1641,10800,none
22,4950,200,-1225,-1859,10794,-1225,-1859,10794,none
37,10988,300,-1295,-1966,10805,-1295,-1966,10805,none
40,10981,300,-1332,-2011,10800,-1332,-2011,10800,none
43,11010,300,-1309,-1995,10798,-1309,-1995,10798,none
46,11097,300,-1241,-2009,10756,-1241,-2009,10756,none
48,11253,300,-1167,-2069,10729,-1167,-2069,10729,none
50,5706,300,-1044,-2195,10608,-1044,-2195,10608,none
58,5912,300,-858,-2233,10599,-858,-2233,10599,none
68,6052,300,-694,-2258,10633,-694,-2258,10633,none
75,6155,200,-561,-2299,10630,-561,-2299,10630,none
0,0,100,-3314,2041,7477,-3314,2041,7477,none
0,0,100,-3185,2337,7712,-3185,2337,7712,none
0,0,100,-2995,2536,7877,-2995,2536,7877,none
0,0,100,-2688,3530,7750,-2688,3530,7750,none
0,0,100,-2289,4518,7412,-2289,4518,7412,none
0,0,100,-1700,5094,7398,-1700,5094,7398,none
0,0,100,-1056,5365,7500,-1056,5365,7500,none
0,0,100,-368,5047,7787,-368,5047,7787,none
0,0,100,275,4760,7805,275,4760,7805,none
0,0,100,843,4428,7835,843,4428,7835,none
0,0,100,1353,4229,7890,1353,4229,7890,none
0,0,100,1616,5151,7744,1616,5151,7744,none
0,0,100,2079,4675,7937,2079,4675,7937,none
79,12349,300,2543,4399,8175,2543,4399,8175,none
78,12377,300,3012,4057,8436,3012,4057,8436,none
77,12377,300,3381,3754,8624,3381,3754,8624,none
100,15770,400,4805,5190,1013,4805,5190,1013,none
99,15813,400,5237,4865,1022,5237,4865,1022,none
97,15855,500,5735,4458,1001,5735,4458,1001,none
96,15893,500,6180,4066,965,6180,4066,965,none
94,15921,500,6632,3585,947,6632,3585,947,none
92,15973,500,6990,3116,900,6990,3116,900,none
91,16045,500,7294,2640,850,7294,2640,850,none
90,16112,500,7571,2154,813,7571,2154,813,none
88,16109,500,7780,1554,771,7780,1554,771,none
86,16129,500,7947,989,741,7947,989,741,none
85,16163,500,8061,467,733,8061,467,733,none
84,16216,500,8116,-3,694,8116,-3,694,none
83,16274,500,8155,-498,689,8155,-498,689,none
83,16319,500,8119,-974,639,8119,-974,639,none
83,16354,500,8070,-1384,610,8070,-1384,610,none
83,16369,500,8005,-1775,549,8005,-1775,549,none
84,16344,500,7926,-2148,497,7926,-2148,497,none
84,16295,500,7853,-2569,494,7853,-2569,494,none
86,16259,500,7808,-3010,558,7808,-3010,558,none
88,16227,500,7746,-3363,582,7746,-3363,582,none
89,16181,500,7665,-3690,583,7665,-3690,583,none
88,16117,300,7540,-4028,581,7540,-4028,581,none
85,15974,300,7405,-4405,599,7405,-4405,599,none
86,15790,300,7242,-4770,706,7242,-4770,706,none
86,15569,200,7024,-5116,843,7024,-5116,843,none
72,15213,200,6725,-5466,1051,6725,-5466,1051,none
91,15474,200,6427,-5810,1325,6427,-5810,1325,none
67,15283,300,6123,-6115,1582,6123,-6115,1582,none
67,15210,300,5773,-6411,1774,5773,-6411,1774,none
22,6388,200,963,6166,7610,963,6166,7610,none
20,6426,200,1745,5919,7314,1745,5919,7314,none
19,6445,200,2529,5646,7003,2529,5646,7003,none
18,6413,200,3237,5302,6678,3237,5302,6678,none
38,9173,300,3856,4936,6327,3856,4936,6327,none
43,9475,300,4391,4546,5948,4391,4546,5948,none
47,9747,300,4874,4124,5526,4874,4124,5526,none
52,9985,300,5260,3643,5033,5260,3643,5033,none
58,10206,300,5671,3042,4409,5671,3042,4409,none
63,10407,300,5979,2399,3822,5979,2399,3822,none
70,10604,300,6185,1708,3264,6185,1708,3264,none
40,5449,200,4124,1263,8043,4124,1263,8043,none
43,5741,200,4467,939,7743,4467,939,7743,none
57,9439,300,4732,631,7428,4732,631,7428,none
61,9760,300,4960,300,7143,4960,300,7143,none
65,10044,300,5156,16,6909,5156,16,6909,none
69,10264,300,5335,-210,6731,5335,-210,6731,none
72,10445,300,5511,-364,6586,5511,-364,6586,none
75,10572,300,5673,-485,6442,5673,-485,6442,none
78,10665,300,5794,-606,6277,5794,-606,6277,none
81,10739,300,5897,-773,6179,5897,-773,6179,none
84,10825,300,5981,-962,6122,5981,-962,6122,none
86,10905,300,6033,-1117,6081,6033,-1117,6081,none
88,10989,300,6026,-1248,6086,6026,-1248,6086,none
90,11071,300,5988,-1450,6218,5988,-1450,6218,none
91,11132,300,5927,-1669,6427,5927,-1669,6427,none
91,11132,300,5809,-1875,6690,5809,-1875,6690,none
91,11096,300,5653,-2033,6953,5653,-2033,6953,none
125,14232,400,5471,-2189,7307,5471,-2189,7307,none
123,14212,400,5264,-2311,7690,5264,-2311,7690,none
120,14180,400,4972,-2299,8081,4972,-2299,8081,none
116,14144,400,4614,-2123,8468,4614,-2123,8468,none
112,14121,400,4164,-1761,8892,4164,-1761,8892,none
106,14077,400,3556,-1185,9350,3556,-1185,9350,none
100,14094,400,2951,-576,9681,2951,-576,9681,none
94,14195,400,2403,4,9922,2403,4,9922,none
92,16573,500,6281,815,7514,6281,815,7514,none
92,16641,500,6023,1423,7551,6023,1423,7551,none
93,16701,500,5787,1908,7604,5787,1908,7604,none
93,16740,500,5571,2325,7625,5571,2325,7625,none
93,16741,500,5308,2771,7633,5308,2771,7633,none
94,16717,400,5041,3156,7663,5041,3156,7663,none
94,16680,400,4800,3475,7688,4800,3475,7688,none
25,7781,300,4580,3741,7715,4580,3741,7715,none
94,16597,400,4298,4063,7763,4298,4063,7763,none
22,7681,300,3897,4411,7783,3897,4411,7783,none
29,5693,200,2987,4747,7872,2987,4747,7872,none
19,6829,200,1908,4772,7864,1908,4772,7864,none
15,6378,200,936,4653,7826,936,4653,7826,none
16,6091,200,244,4460,7800,244,4460,7800,none
16,5881,200,-133,4270,7825,-133,4270,7825,none
19,5767,200,-272,4114,7876,-272,4114,7876,none
22,5731,200,-306,4033,7917,-306,4033,7917,none
20,5718,200,-436,4030,7908,-436,4030,7908,none
22,5680,200,-729,4032,7839,-729,4032,7839,none
16,5576,200,-1251,3953,7775,-1251,3953,7775,none
0,0,100,-2321,4128,7759,-2321,4128,7759,none
20,5514,200,-3563,4154,7586,-3563,4154,7586,none
22,6001,200,-3612,-1733,10140,-3612,-1733,10140,none
23,6732,200,-2924,-2222,10042,-2924,-2222,10042,none
23,7425,200,-2281,-2387,10028,-2281,-2387,10028,none
65,14311,300,7043,-174,5000,7043,-174,5000,none
68,14622,400,7008,366,4950,7008,366,4950,none
72,14975,500,7043,579,4914,7043,579,4914,none
77,15336,500,7124,626,4858,7124,626,4858,none
80,15598,500,7167,709,4811,7167,709,4811,none
84,15798,500,7187,873,4790,7187,873,4790,none
86,15939,500,7196,1112,4688,7196,1112,4688,none
89,16082,500,7224,1308,4620,7224,1308,4620,none
92,16242,500,7285,1472,4545,7285,1472,4545,none
94,16379,500,7370,1550,4452,7370,1550,4452,none
96,16492,500,7454,1562,4344,7454,1562,4344,none
98,16577,500,7528,1482,4203,7528,1482,4203,none
100,16627,500,7622,1402,4041,7622,1402,4041,none
102,16663,500,7701,1320,3887,7701,1320,3887,none
103,16688,500,7779,1215,3716,7779,1215,3716,none
103,16706,500,7878,1083,3560,7878,1083,3560,none
104,16716,500,8015,874,3372,8015,874,3372,none
104,16698,500,8102,671,3152,8102,671,3152,none
103,16743,500,8212,395,2934,8212,395,2934,none
102,16528,500,8344,134,2712,8344,134,2712,none
102,16277,500,8441,-74,2478,8441,-74,2478,none
101,16069,500,8525,-243,2281,8525,-243,2281,none
100,15945,500,8601,-423,2170,8601,-423,2170,none
99,15863,500,8641,-602,2052,8641,-602,2052,none
99,15823,500,8684,-808,1983,8684,-808,1983,none
99,15813,500,8776,-1203,1989,8776,-1203,1989,none
98,15835,400,8792,-1697,1946,8792,-1697,1946,none
98,15792,300,8562,-2145,1828,8562,-2145,1828,none
80,15136,200,8314,-2612,1735,8314,-2612,1735,none
80,15215,200,7991,-3105,1718,7991,-3105,1718,none
80,15268,200,7632,-3575,1720,7632,-3575,1720,none
83,15230,200,7141,-4060,1931,7141,-4060,1931,none
0,0,100,-2765,5001,9243,-2765,5001,9243,none
0,0,100,-2515,5463,9162,-2515,5463,9162,none
0,0,100,-2350,5825,9123,-2350,5825,9123,none
0,0,100,-2320,6050,9054,-2320,6050,9054,none
0,0,100,-2387,6192,8999,-2387,6192,8999,none
0,0,100,-2510,6215,8890,-2510,6215,8890,none
0,0,100,-2697,6175,8762,-2697,6175,8762,none
0,0,100,-3019,6085,8652,-3019,6085,8652,none
0,0,100,-3477,5981,8563,-3477,5981,8563,none
0,0,100,-3884,5809,8400,-3884,5809,8400,none
19,5199,200,-4252,5776,8316,-4252,5776,8316,none
22,7477,300,-3744,3866,10019,-3744,3866,10019,none
23,7580,300,-3672,4056,9903,-3672,4056,9903,none
23,7701,300,-3612,4234,9750,-3612,4234,9750,none
117,17599,400,7143,-4133,3719,7143,-4133,3719,none
116,17648,400,7531,-3525,3666,7531,-3525,3666,none
115,17657,500,7845,-2873,3566,7845,-2873,3566,none
114,17645,500,8101,-2196,3487,8101,-2196,3487,none
113,17606,500,8311,-1462,3401,8311,-1462,3401,none
112,17532,500,8430,-706,3250,8430,-706,3250,none
110,17480,500,8483,-3,3115,8483,-3,3115,none
109,17430,500,8451,710,2984,8451,710,2984,none
107,17407,500,8379,1364,2885,8379,1364,2885,none
106,17387,500,8243,2022,2792,8243,2022,2792,none
105,17381,500,8074,2629,2722,8074,2629,2722,none
104,17401,500,7889,3190,2663,7889,3190,2663,none
103,17421,500,7673,3707,2643,7673,3707,2643,none
103,17455,500,7468,4146,2650,7468,4146,2650,none
104,17522,500,7290,4498,2700,7290,4498,2700,none
105,17616,500,7141,4761,2802,7141,4761,2802,none
106,17729,500,7008,4939,2951,7008,4939,2951,none
107,17822,500,6905,5014,3102,6905,5014,3102,none
108,17867,500,6857,4979,3267,6857,4979,3267,none
109,17894,500,6875,4689,3396,6875,4689,3396,none
109,17870,500,6907,4441,3470,6907,4441,3470,none
109,17782,500,6937,4104,3513,6937,4104,3513,none
108,17642,500,6966,3828,3517,6966,3828,3517,none
107,17488,500,7014,3535,3551,7014,3535,3551,none
106,17288,500,7082,3234,3559,7082,3234,3559,none
105,17033,500,7166,2887,3601,7166,2887,3601,none
103,16827,500,7261,2543,3622,7261,2543,3622,none
101,16616,500,7352,2177,3604,7352,2177,3604,none
99,16426,500,7448,1776,3474,7448,1776,3474,none
96,16199,500,7495,1257,3368,7495,1257,3368,none
93,15978,500,7577,710,3264,7577,710,3264,none
90,15795,500,7677,247,3094,7677,247,3094,none
87,15654,500,7742,-229,3012,7742,-229,3012,none
84,15541,500,7804,-660,2880,7804,-660,2880,none
80,15429,400,7930,-1137,2850,7930,-1137,2850,none
77,15338,400,7979,-1568,2809,7979,-1568,2809,none
75,15311,400,8017,-1926,2721,8017,-1926,2721,none
72,15339,400,8009,-2270,2705,8009,-2270,2705,none
70,15408,400,7994,-2585,2683,7994,-2585,2683,none
69,15498,400,7941,-2860,2684,7941,-2860,2684,none
